Neurite,ArborType,BrainRegion,Species,Archive,SeqLen,Region2,Region3,Class1,Class2,Class3,Gender,Protocol,AgeClass,Strain,ExperCond,Order,Layer,CorticalRegion,CorticalLobe
c11571-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,47,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12363-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,34,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12363-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,58,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12861-Axon,Axon,Hippocampus,Rat,Amaral,22,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12861-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,31,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12861-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,60,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12866-Axon,Axon,Hippocampus,Rat,Amaral,40,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12866-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,50,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12866-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,58,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12873-Axon,Axon,Hippocampus,Rat,Amaral,11,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12873-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,17,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12873-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,45,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12877-Axon,Axon,Hippocampus,Rat,Amaral,31,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12877-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,20,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12877-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,46,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12971-Axon,Axon,Hippocampus,Rat,Amaral,26,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12971-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,37,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12971-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,51,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12973-Axon,Axon,Hippocampus,Rat,Amaral,13,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12973-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,35,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12973-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,25,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12979-Axon,Axon,Hippocampus,Rat,Amaral,18,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12979-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,34,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c12979-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,59,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c20465-Axon,Axon,Hippocampus,Rat,Amaral,30,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c20465-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,36,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c20465-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,49,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c20466-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,23,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c20466-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,76,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c20467-Axon,Axon,Hippocampus,Rat,Amaral,20,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c20467-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,48,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c20467-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,59,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c30465-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,25,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c30465-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,64,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c30573-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,39,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c30573-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,34,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c31162-Axon,Axon,Hippocampus,Rat,Amaral,43,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c31162-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,32,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c31162-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,35,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c31164-Axon,Axon,Hippocampus,Rat,Amaral,27,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c31164-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,48,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c31164-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,42,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c40165-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,55,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c40165-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,35,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c53063-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,36,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c53063-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,31,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c60361-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,37,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c60361-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,38,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c60463-Axon,Axon,Hippocampus,Rat,Amaral,10,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c60463-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,37,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c60463-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,27,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c62563-Axon,Axon,Hippocampus,Rat,Amaral,18,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c62563-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,47,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c62563-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,31,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c62564-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,31,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c62564-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,47,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c70863-Axon,Axon,Hippocampus,Rat,Amaral,21,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c70863-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,26,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c70863-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,57,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
